Texts,Languages
मुझे नए शहरों में घूमना पसंद है।,Hindi
वह आज देर से स्कूल पहुंची।,Hindi
क्या तुमने अपनी किताब वापस कर दी?,Hindi
आज मौसम बहुत ठंडा है।,Hindi
उसने अपने दादा-दादी के साथ समय बिताया।,Hindi
मुझे चाय से ज्यादा कॉफी पसंद है।,Hindi
वह अपनी परीक्षा के लिए मेहनत कर रहा है।,Hindi
मैंने कल एक नया गाना सुना।,Hindi
क्या तुमने अपने कमरे की सफाई की?,Hindi
उसने अपने स्कूल प्रोजेक्ट पर काम किया।,Hindi
हम अगले सप्ताह यात्रा पर जा रहे हैं।,Hindi
मुझे बारिश का मौसम बहुत पसंद है।,Hindi
उसने अपने दोस्त के साथ मिलकर खाना बनाया।,Hindi
क्या तुमने अपना बैग पैक कर लिया?,Hindi
वह रोज़ अपने पालतू कुत्ते के साथ खेलती है।,Hindi
मैंने कल रात एक दिलचस्प फिल्म देखी।,Hindi
वह अपनी नई किताब से बहुत खुश है।,Hindi
क्या तुमने अपने दांत ब्रश कर लिए?,Hindi
அவன் பள்ளிக்கு சென்று விட்டான்.,Tamil
நீ என்ன செய்தாய்?,Tamil
நான் சாப்பாடு சாப்பிட்டேன்.,Tamil
அவர்கள் பூங்காவில் விளையாடுகிறார்கள்.,Tamil
அவள் பாடல்களை பாட விரும்புகிறாள்.,Tamil
இங்கு மழை பெய்து வருகிறது.,Tamil
அவர் வேலைக்கு சென்றார்.,Tamil
நாம் நாளைக்கு சென்னை செல்கிறோம்.,Tamil
என்னுடன் வருவாயா?,Tamil
அவன் வேலை முடித்து வீட்டுக்கு வந்தான்.,Tamil
நீ என்ன படிக்கிறாய்?,Tamil
அவள் தினமும் யோகா செய்கிறாள்.,Tamil
இந்தப் பசங்க எப்போதும் சண்டையிடுகிறார்கள்.,Tamil
எனக்கு அந்தப் புத்தகம் பிடிக்கும்.,Tamil
ரயில் எப்போது வருகிறது?,Tamil
இந்தப் பூ நிறம் அழகாக இருக்கிறது.,Tamil
நான் நீரிழிவு நோயால் பாதிக்கப்பட்டுள்ளேன்.,Tamil
அவர் நல்ல ஓவியர்.,Tamil
இந்தப் பசும்பால் நிறம் என்ன?,Tamil
நான் நாளை பள்ளி செல்கிறேன்.,Tamil
இங்கு வரும் காற்று மிகவும் குளிராக உள்ளது.,Tamil
அவனுக்கு உதவி தேவைப்படுகிறது.,Tamil
இந்த மரம் பழம் காய்க்கும்.,Tamil
நான் தாயைப் பார்க்க வேண்டும்.,Tamil
பள்ளி மாணவர்கள் பாடங்களை படிக்கிறார்கள்.,Tamil
என்னுடைய சிறு தம்பி நல்ல ஓவியர்.,Tamil
மாமியார் சமையல் நல்ல சுவையாக இருந்தது.,Tamil
நீங்கள் எப்போது பணி முடிப்பீர்கள்?,Tamil
அவள் மழையை விரும்புகிறாள்.,Tamil
நாங்கள் இரவு உணவை சாப்பிட்டோம்.,Tamil
இது ஒரு கடினமான வேலை.,Tamil
இன்று பள்ளியில் என்ன கற்றீர்கள்?,Tamil
அவன் படிப்பதற்கு புத்தகம் வாங்கினான்.,Tamil
இங்கே காற்று மிகவும் சுத்தமாக உள்ளது.,Tamil
அவருக்கு புதிய வேலை கிடைத்தது.,Tamil
இது என்னுடைய மொபைல் போன்.,Tamil
அவன் ஒரு நல்ல நண்பன்.,Tamil
இந்த வாரம் பள்ளி விடுமுறை.,Tamil
நீங்கள் இப்போது என்ன செய்கிறீர்கள்?,Tamil
நான் வீட்டுக்கு திரும்பி விட்டேன்.,Tamil
அப்பா வேலைக்கு சென்றார்.,Tamil
அவள் ஒரு சிறந்த பாடகி.,Tamil
நான் காப்பி வாங்க விரும்புகிறேன்.,Tamil
மழையில் நடப்பதை நான் விரும்புகிறேன்.,Tamil
அவள் நாளை என்ன செய்வாள்?,Tamil
நாம் எல்லாம் சாப்பிடத்தான் போகிறோம்.,Tamil
அவன் என்னுடைய நண்பர்.,Tamil
எனக்கு கார் ஓட்டும் திறமை உள்ளது.,Tamil
நீங்கள் எப்போதும் நேரமாக வர வேண்டும்.,Tamil
நான் அதை விட மிகவும் கஷ்டமாக படிக்கிறேன்.,Tamil
இப்பொழுது என்னை யாரும் அழைத்துவிட முடியாது.,Tamil
இந்த நகரம் மிக சுத்தமாக உள்ளது.,Tamil
இது மிக அழகான கடல்.,Tamil
இப்பொழுது நீங்கள் என்ன செய்கிறீர்கள்?,Tamil
இன்று வானம் மேக மூட்டமாக உள்ளது.,Tamil
இந்த பூந்தோட்டம் மிகவும் அழகாக உள்ளது.,Tamil
நான் நேற்று பார்க்க வானவில்.,Tamil
இது மிகவும் சுவையான உணவாகும்.,Tamil
எங்கள் வீட்டில் புதிய தொலைக்காட்சி வாங்கினோம்.,Tamil
இன்றைய தரம் கடினமாக இருந்தது.,Tamil
அவருடைய சிறு மகன் மிகவும் இளைஞர்.,Tamil
நான் இங்கே வேலை செய்வேன்.,Tamil
இந்த இடம் மிகவும் அமைதியானது.,Tamil
நீங்கள் இந்த நிகழ்ச்சியை பார்த்தீர்களா?,Tamil
நான் மழையில் சும்மா இருந்தேன்.,Tamil
அவள் பள்ளியில் முதலிடம் பிடித்தாள்.,Tamil
இன்று காலையில் நான் உடற்பயிற்சி செய்தேன்.,Tamil
இந்த மாம்பழம் மிக இனிப்பாக உள்ளது.,Tamil
இந்த பசு பசுங்க grass சாப்பிடுகிறது.,Tamil
அவன் என்னை சந்திக்க விரும்புகிறான்.,Tamil
நீங்கள் என்ன செய்ய விரும்புகிறீர்கள்?,Tamil
இந்த கதை மிகவும் சுவாரசியமாக உள்ளது.,Tamil
நாம் நல்ல புத்தகங்களை வாசிக்க வேண்டும்.,Tamil
இங்கே வேலை செய்வது மிகவும் கடினம்.,Tamil
அவர் ஒரு நல்ல ஆசிரியர்.,Tamil
இது என்னுடைய நண்பரின் புத்தகம்.,Tamil
நீங்கள் எப்போது வீட்டிற்கு செல்லபோகிறீர்கள்?,Tamil
அவள் புத்தகங்களை வாங்கினார்.,Tamil
நான் ஒரு புதிய பாடல் எழுதினேன்.,Tamil
இந்த வானம் மிகவும் கருப்பாக உள்ளது.,Tamil
இந்த நிலம் விளையாடுவதற்கு மிக நன்றாக உள்ளது.,Tamil
நான் ஒரு புதிய உடை வாங்கினேன்.,Tamil
இங்கு குளிர் சற்றே அதிகமாக உள்ளது.,Tamil
நான் நேற்று வெண்கலத்தை வாங்கினேன்.,Tamil
இங்கே ஒரு சிறிய ஆடு இருக்கிறது.,Tamil
நான் இதற்க்கு முன்னே ஒரு கதை படித்தேன்.,Tamil
இந்த கோவில் மிக பெரியது.,Tamil
இன்று நாம் ஒரு நல்ல படம் பார்க்க போகிறோம்.,Tamil
அவள் ஒரு நல்ல நடன கலைஞர்.,Tamil
